DT_DATA,NR_ANO,NR_MES,NM_MES,NR_DIA,NR_DIA_SEMANA,NM_DIA_SEMANA,FLG_FINAL_SEMANA,FLG_FERIADO
2010-07-19,2010,7,July,19,2,Monday,false,false
2010-08-16,2010,8,August,16,2,Monday,false,false
2010-09-09,2010,9,September,9,5,Thursday,false,false
2010-09-22,2010,9,September,22,4,Wednesday,false,false
2010-11-13,2010,11,November,13,7,Saturday,true,false
2011-01-15,2011,1,January,15,7,Saturday,true,false
2011-04-07,2011,4,April,7,5,Thursday,false,false
2011-05-14,2011,5,May,14,7,Saturday,true,false
2011-07-15,2011,7,July,15,6,Friday,false,false
2011-07-19,2011,7,July,19,3,Tuesday,false,false
2011-07-23,2011,7,July,23,7,Saturday,true,false
2011-09-04,2011,9,September,4,1,Sunday,true,false
2011-11-04,2011,11,November,4,6,Friday,false,false
2011-11-10,2011,11,November,10,5,Thursday,false,false
2011-12-26,2011,12,December,26,2,Monday,false,false
2012-02-24,2012,2,February,24,6,Friday,false,false
2012-03-31,2012,3,March,31,7,Saturday,true,false
